Generation, Elite_Fit, Best Fit, Peak Fit
0,-7.4558941070538545,-7.4558941070538545,2.1233472807554317
1,-7.38588689380699,-7.38588689380699,2.269654025424297
2,-7.17407697001257,-7.17407697001257,2.8297555451502467
3,-7.15697996402676,-7.15697996402676,2.9361303158063676
4,-6.838668249532222,-6.838668249532222,2.7384663973001593
5,-7.249030591488899,-6.838668249532222,2.7384663973001593
6,-6.852122333716494,-6.838668249532222,2.7384663973001593
7,-6.882764982573083,-6.838668249532222,2.7384663973001593
8,-6.605708265977161,-6.783299836873208,3.9746937181924573
9,-6.391284882267324,-6.391284882267324,3.9255856360401817
10,-6.376756435839051,-6.376756435839051,4.164729104483044
11,-6.696564338615393,-6.376756435839051,4.164729104483044
12,-6.326839301169309,-6.326839301169309,3.9848497111973606
13,-6.472269955145275,-6.326839301169309,3.9848497111973606
14,-6.411184945094977,-6.326839301169309,3.9848497111973606
15,-6.228429434373407,-6.228429434373407,3.7973480012107057
16,-6.4012132714719705,-6.228429434373407,3.7973480012107057
17,-6.021512961189445,-6.021512961189445,3.688616259811488
18,-6.015546397842129,-6.015546397842129,3.274088581161731
19,-6.016923021784323,-6.015546397842129,3.274088581161731
20,-5.989445615962192,-5.989445615962192,3.7099850458115875
21,-5.8384858163372675,-5.8384858163372675,3.3462756968953404
22,-5.90470897021276,-5.8384858163372675,3.3462756968953404
23,-6.185173291634453,-5.8384858163372675,3.3462756968953404
24,-6.230361216596221,-5.8384858163372675,3.3462756968953404
25,-6.291418606146588,-5.8384858163372675,3.3462756968953404
26,-5.800048685702553,-5.800048685702553,3.8286107820905095
27,-5.8458573853336935,-5.800048685702553,3.8286107820905095
28,-5.307210001688866,-5.307210001688866,3.898642144461233
29,-5.6960034415711505,-5.307210001688866,3.898642144461233
30,-6.076214667530322,-5.307210001688866,3.898642144461233
31,-5.918158689078516,-5.307210001688866,3.898642144461233
32,-6.153269453160284,-5.307210001688866,3.898642144461233
33,-5.979261035983584,-5.307210001688866,3.898642144461233
34,-6.19094207782101,-5.307210001688866,3.898642144461233
35,-5.89225854778224,-5.307210001688866,3.898642144461233
36,-5.715176006380465,-5.307210001688866,3.898642144461233
37,-5.330993640357472,-5.307210001688866,3.898642144461233
38,-5.360269910623124,-5.307210001688866,3.898642144461233
39,-5.49248997940609,-5.307210001688866,3.898642144461233
40,-5.887733765152626,-5.307210001688866,3.898642144461233
41,-5.607386039201749,-5.307210001688866,3.898642144461233
42,-5.515672196139651,-5.307210001688866,3.898642144461233
43,-5.851568953100276,-5.307210001688866,3.898642144461233
44,-5.7573724455823445,-5.307210001688866,3.898642144461233
45,-5.8132363626834325,-5.307210001688866,3.898642144461233
46,-5.544839846777768,-5.307210001688866,3.898642144461233
47,-5.864713043121621,-5.307210001688866,3.898642144461233
48,-5.686690591168446,-5.307210001688866,3.898642144461233
49,-5.747949083523484,-5.307210001688866,3.898642144461233
50,-6.213422869742107,-5.307210001688866,3.898642144461233
51,-5.514985329119057,-5.307210001688866,3.898642144461233
52,-5.588116365092328,-5.307210001688866,3.898642144461233
53,-5.105583569103969,-5.105583569103969,4.130045728370267
54,-5.4397443788099045,-5.105583569103969,4.130045728370267
55,-5.2069503176321925,-5.105583569103969,4.130045728370267
56,-5.221953105228202,-5.105583569103969,4.130045728370267
57,-5.186917335813845,-5.105583569103969,4.130045728370267
58,-5.171907979205021,-5.105583569103969,4.130045728370267
59,-5.4862904901417044,-5.105583569103969,4.130045728370267
60,-5.340315983854466,-5.105583569103969,4.130045728370267
61,-5.528718428821654,-5.105583569103969,4.130045728370267
62,-5.228348900837364,-5.105583569103969,4.130045728370267
63,-5.791672448382168,-5.105583569103969,4.130045728370267
64,-6.059514041828966,-5.105583569103969,4.130045728370267
65,-5.336693375915831,-5.105583569103969,4.130045728370267
66,-5.312800411990089,-5.105583569103969,4.130045728370267
67,-5.265109016475564,-5.105583569103969,4.130045728370267
68,-5.234382769727592,-5.105583569103969,4.130045728370267
69,-5.093700850329031,-5.093700850329031,4.779362646530072
70,-5.150538898674029,-5.093700850329031,4.779362646530072
71,-5.101887320869653,-5.093700850329031,4.779362646530072
72,-5.05311671564307,-5.105583569103969,4.902693989518444
73,-5.336126122442107,-5.105583569103969,4.130045728370267
74,-5.097838082796861,-5.097838082796861,4.9992006146133185
75,-4.964866368212342,-4.964866368212342,5.189768218605373
76,-5.374600096170415,-4.964866368212342,5.189768218605373
77,-5.123328452938662,-4.964866368212342,5.189768218605373
78,-5.060140164244223,-4.964866368212342,5.189768218605373
79,-5.217699058894471,-4.964866368212342,5.189768218605373
80,-5.097684110705913,-4.964866368212342,5.189768218605373
81,-5.156702017058406,-4.964866368212342,5.189768218605373
82,-5.290618687903687,-4.964866368212342,5.189768218605373
83,-5.19501052330379,-4.964866368212342,5.189768218605373
84,-5.379699607384491,-4.964866368212342,5.189768218605373
85,-6.355931808420607,-4.964866368212342,5.189768218605373
86,-6.527589424854084,-4.964866368212342,5.189768218605373
87,-6.273041949555787,-4.964866368212342,5.189768218605373
88,-6.3372616124549195,-4.964866368212342,5.189768218605373
89,-6.4200730966623025,-4.964866368212342,5.189768218605373
90,-6.391074574309594,-4.964866368212342,5.189768218605373
91,-5.964135990784182,-4.964866368212342,5.189768218605373
92,-6.432176182042739,-4.964866368212342,5.189768218605373
93,-6.2762618007596584,-4.964866368212342,5.189768218605373
94,-6.028452743190463,-4.964866368212342,5.189768218605373
95,-6.516667883155062,-4.964866368212342,5.189768218605373
96,-6.100045864475739,-4.964866368212342,5.189768218605373
97,-6.364770194411384,-4.964866368212342,5.189768218605373
98,-5.838256760147633,-4.964866368212342,5.189768218605373
99,-6.339207418596412,-4.964866368212342,5.189768218605373
100,-6.22925845014835,-4.964866368212342,5.189768218605373
101,-6.350292199130473,-4.964866368212342,5.189768218605373
102,-6.153528839086132,-4.964866368212342,5.189768218605373
103,-5.82233162704195,-4.964866368212342,5.189768218605373
104,-6.102357123129853,-4.964866368212342,5.189768218605373
105,-5.455511143856449,-4.964866368212342,5.189768218605373
106,-6.300457905118267,-4.964866368212342,5.189768218605373
107,-5.460802695437714,-4.964866368212342,5.189768218605373
108,-6.350090375312274,-4.964866368212342,5.189768218605373
109,-5.426064991116966,-4.964866368212342,5.189768218605373
110,-5.835615430946066,-4.964866368212342,5.189768218605373
111,-5.830774244018062,-4.964866368212342,5.189768218605373
112,-5.81493783254099,-4.964866368212342,5.189768218605373
113,-5.987843794536218,-4.964866368212342,5.189768218605373
114,-5.5600132972879,-4.964866368212342,5.189768218605373
115,-6.209839650588406,-4.964866368212342,5.189768218605373
116,-5.454614572891461,-4.964866368212342,5.189768218605373
117,-6.213305440775081,-4.964866368212342,5.189768218605373
118,-5.351963269275223,-4.964866368212342,5.189768218605373
119,-5.791583527624386,-4.964866368212342,5.189768218605373
120,-5.311572202916384,-4.964866368212342,5.189768218605373
