Generation, Elite_Fit, Best Fit, Peak Fit
0,-8.340268537017488,-8.340268537017488,0.9400838861603488
1,-8.168152513871265,-8.168152513871265,1.342085544881366
2,-7.986822077917428,-7.986822077917428,1.3317788551014769
3,-8.112102093483669,-7.986822077917428,1.3317788551014769
4,-7.626359318703812,-7.626359318703812,2.0269118101768613
5,-7.837233310683106,-7.626359318703812,2.0269118101768613
6,-7.380420596338595,-7.380420596338595,1.9689346185653263
7,-7.6984685730772116,-7.380420596338595,1.9689346185653263
8,-7.832031052084639,-7.380420596338595,1.9689346185653263
9,-7.49209510858644,-7.380420596338595,1.9689346185653263
10,-7.735534532336657,-7.380420596338595,1.9689346185653263
11,-7.229409125135121,-7.229409125135121,2.407562127670524
12,-7.679339918074741,-7.229409125135121,2.407562127670524
13,-7.2638279667435945,-7.229409125135121,2.407562127670524
14,-7.5117406796853965,-7.229409125135121,2.407562127670524
15,-6.799038145201681,-6.799038145201681,3.2797688072231863
16,-7.192774908684242,-6.799038145201681,3.2797688072231863
